ID,id_region,region,date
1,2,Antofagasta,2022-07-06 11:03:28
2,3,Atacama,2022-07-06 11:03:31
3,4,Coquimbo,2022-07-06 11:03:36
4,5,Valparaiso,2022-07-06 11:03:39
5,6,Libertador General Bernardo O Higgins,2022-07-06 11:03:56
6,7,Maule,2022-07-06 11:03:57
7,8,Biobío,2022-07-06 11:03:58
8,9,La Araucanía,2022-07-06 11:03:59
9,10,Los Lagos,2022-07-06 11:04:01
10,11,Aysén del General Carlos Ibáñez del Campo,2022-07-06 11:04:03
11,12,Magallanes y de la Antártica Chilena,2022-07-06 11:04:04
12,13,Metropolitana de Santiago,2022-07-06 11:04:07
13,14,Los Ríos,2022-07-06 11:04:09
14,15,Arica y Parinacota,2022-07-06 11:04:13
15,16,Ñuble,2022-07-06 11:04:15
16,1,Tarapaca,2022-07-06 11:02:37